code,type,factor,unit,name,table_no,table_name
code,string,0,,Food Code,,
name,string,0,,Food Name,,
scie,string,0,,Scientific Name,,
lang,string,0,,Local Name,,
grup,string,0,,Food Group,,
regn,integer,1,,No. of Regions,,
tags,string,0,,Tags,,
enerc,energy,1,kJ,Energy,1,PROXIMATE PRINCIPLES AND DIETARY FIBRE
enerc_e,energy,1,kJ,Energy,1,PROXIMATE PRINCIPLES AND DIETARY FIBRE
water,mass,1,g,Moisture,1,PROXIMATE PRINCIPLES AND DIETARY FIBRE
water_e,mass,1,g,Moisture,1,PROXIMATE PRINCIPLES AND DIETARY FIBRE
ash,mass,1000,mg,Ash,1,PROXIMATE PRINCIPLES AND DIETARY FIBRE
ash_e,mass,1000,mg,Ash,1,PROXIMATE PRINCIPLES AND DIETARY FIBRE
vit,mass,1000,mg,Total Vitamins,,
vit_e,mass,1000,mg,Total Vitamins,,
fatce,mass,1,g,Total Fat,1,PROXIMATE PRINCIPLES AND DIETARY FIBRE
fatce_e,mass,1,g,Total Fat,1,PROXIMATE PRINCIPLES AND DIETARY FIBRE
cholc,mass,1000,mg,Cholesterol,7,FATTY ACID PROFILE
cholc_e,mass,1000,mg,Cholesterol,7,FATTY ACID PROFILE
fibtg,mass,1,g,Dietary Fiber,1,PROXIMATE PRINCIPLES AND DIETARY FIBRE
fibtg_e,mass,1,g,Dietary Fiber,1,PROXIMATE PRINCIPLES AND DIETARY FIBRE
choavldf,mass,1,g,Carbohydrate,1,PROXIMATE PRINCIPLES AND DIETARY FIBRE
choavldf_e,mass,1,g,Carbohydrate,1,PROXIMATE PRINCIPLES AND DIETARY FIBRE
protcnt,mass,1,g,Protein,1,PROXIMATE PRINCIPLES AND DIETARY FIBRE
protcnt_e,mass,1,g,Protein,1,PROXIMATE PRINCIPLES AND DIETARY FIBRE
amiac,mass,1,g,Essential Amino acids,8,AMINO ACID PROFILE
amiac_e,mass,1,g,Essential Amino acids,8,AMINO ACID PROFILE
cartoid,mass,1000,mg,Carotenoids,4,CAROTENOIDS
cartoid_e,mass,1000,mg,Carotenoids,4,CAROTENOIDS
polyph,mass,1000,mg,Polyphenols,10,POLYPHENOLS
polyph_e,mass,1000,mg,Polyphenols,10,POLYPHENOLS
phystr,mass,1000,mg,Phytosterols,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
phystr_e,mass,1000,mg,Phytosterols,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
tocph,mass,1000000,ug,Tocopherols,3,FAT SOLUBLE VITAMINS
tocph_e,mass,1000000,ug,Tocopherols,3,FAT SOLUBLE VITAMINS
toctr,mass,1000000,ug,Tocotrienols,3,FAT SOLUBLE VITAMINS
toctr_e,mass,1000000,ug,Tocotrienols,3,FAT SOLUBLE VITAMINS
orgac,mass,1000,mg,Organic acids,9,ORGANIC ACIDS
orgac_e,mass,1000,mg,Organic acids,9,ORGANIC ACIDS
phytac,mass,1000,mg,Phytate,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
phytac_e,mass,1000,mg,Phytate,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
sapon,mass,1,g,Saponins,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
sapon_e,mass,1,g,Saponins,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
mnrleq,mass,1000,mg,Essential Quantity Minerals,,
mnrleq_e,mass,1000,mg,Essential Quantity Minerals,,
mnrlet,mass,1000,mg,Essential Trace Minerals,,
mnrlet_e,mass,1000,mg,Essential Trace Minerals,,
mnrlpet,mass,1000000,ug,Possibly essential Trace Minerals,,
mnrlpet_e,mass,1000000,ug,Possibly essential Trace Minerals,,
mnrlnet,mass,1000000,ug,Non-essential Trace Minerals,,
mnrlnet_e,mass,1000000,ug,Non-essential Trace Minerals,,
mnrltx,mass,1000000000,ng,Toxic Minerals,,
mnrltx_e,mass,1000000000,ng,Toxic Minerals,,
vita,mass,1000000,ug,Vitamin A,3,FAT SOLUBLE VITAMINS
vita_e,mass,1000000,ug,Vitamin A,3,FAT SOLUBLE VITAMINS
vitb,mass,1000,mg,Vitamin B,2,WATER SOLUBLE VITAMINS
vitb_e,mass,1000,mg,Vitamin B,2,WATER SOLUBLE VITAMINS
vitc,mass,1000,mg,Ascorbic acids (C),2,WATER SOLUBLE VITAMINS
vitc_e,mass,1000,mg,Ascorbic acids (C),2,WATER SOLUBLE VITAMINS
vitd,mass,1000000,ug,Vitamin D,3,FAT SOLUBLE VITAMINS
vitd_e,mass,1000000,ug,Vitamin D,3,FAT SOLUBLE VITAMINS
vite,mass,1000000,ug,α-Tocopherol equivalent (E),3,FAT SOLUBLE VITAMINS
vite_e,mass,1000000,ug,α-Tocopherol equivalent (E),3,FAT SOLUBLE VITAMINS
vitk,mass,1000000,ug,Vitamin K,3,FAT SOLUBLE VITAMINS
vitk_e,mass,1000000,ug,Vitamin K,3,FAT SOLUBLE VITAMINS
fasat,mass,1,g,Total Saturated Fatty acids,7,FATTY ACID PROFILE
fasat_e,mass,1,g,Total Saturated Fatty acids,7,FATTY ACID PROFILE
fauns,mass,1,g,Total Unsaturated Fatty acids,7,FATTY ACID PROFILE
fauns_e,mass,1,g,Total Unsaturated Fatty acids,7,FATTY ACID PROFILE
faess,mass,1,g,Total Essential Fatty acids,7,FATTY ACID PROFILE
faess_e,mass,1,g,Total Essential Fatty acids,7,FATTY ACID PROFILE
facis,mass,1,g,Cis Fatty acids,7,FATTY ACID PROFILE
facis_e,mass,1,g,Cis Fatty acids,7,FATTY ACID PROFILE
fatrn,mass,1,g,Trans Fatty acids,7,FATTY ACID PROFILE
fatrn_e,mass,1,g,Trans Fatty acids,7,FATTY ACID PROFILE
fams,mass,1,g,Monounsaturated Fatty acids,7,FATTY ACID PROFILE
fams_e,mass,1,g,Monounsaturated Fatty acids,7,FATTY ACID PROFILE
fapu,mass,1,g,Polyunsaturated Fatty acids,7,FATTY ACID PROFILE
fapu_e,mass,1,g,Polyunsaturated Fatty acids,7,FATTY ACID PROFILE
facn3,mass,1000,mg,Cis ω-3 Fatty acids,7,FATTY ACID PROFILE
facn3_e,mass,1000,mg,Cis ω-3 Fatty acids,7,FATTY ACID PROFILE
facn6,mass,1,g,Cis ω-6 Fatty acids,7,FATTY ACID PROFILE
facn6_e,mass,1,g,Cis ω-6 Fatty acids,7,FATTY ACID PROFILE
facn9,mass,1,g,Cis ω-9 Fatty acids,7,FATTY ACID PROFILE
facn9_e,mass,1,g,Cis ω-9 Fatty acids,7,FATTY ACID PROFILE
facn5,mass,1000,mg,Cis ω-5 Fatty acids,7,FATTY ACID PROFILE
facn5_e,mass,1000,mg,Cis ω-5 Fatty acids,7,FATTY ACID PROFILE
facn7,mass,1000,mg,Cis ω-7 Fatty acids,7,FATTY ACID PROFILE
facn7_e,mass,1000,mg,Cis ω-7 Fatty acids,7,FATTY ACID PROFILE
fibins,mass,1,g,Insoluble Dietary Fiber,1,PROXIMATE PRINCIPLES AND DIETARY FIBRE
fibins_e,mass,1,g,Insoluble Dietary Fiber,1,PROXIMATE PRINCIPLES AND DIETARY FIBRE
fibsol,mass,1,g,Soluble Dietary Fiber,1,PROXIMATE PRINCIPLES AND DIETARY FIBRE
fibsol_e,mass,1,g,Soluble Dietary Fiber,1,PROXIMATE PRINCIPLES AND DIETARY FIBRE
cho,mass,1,g,Available CHO,6,STARCH AND INDIVIDUAL SUGARS
cho_e,mass,1,g,Available CHO,6,STARCH AND INDIVIDUAL SUGARS
starch,mass,1,g,Starch,6,STARCH AND INDIVIDUAL SUGARS
starch_e,mass,1,g,Starch,6,STARCH AND INDIVIDUAL SUGARS
olsac,mass,1000,mg,Oligosaccharides,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
olsac_e,mass,1000,mg,Oligosaccharides,11,"OLIGOSACCHARIDES, PHYTOSTEROLS, PHYTATES AND SAPONINS"
fsugar,mass,1,g,Free Sugars,6,STARCH AND INDIVIDUAL SUGARS
fsugar_e,mass,1,g,Free Sugars,6,STARCH AND INDIVIDUAL SUGARS
amiace,mass,1,g,Total Essential Amino acids,8,AMINO ACID PROFILE
amiace_e,mass,1,g,Total Essential Amino acids,8,AMINO ACID PROFILE
amiacce,mass,1,g,Total Conditionally essential Amino acids,8,AMINO ACID PROFILE
amiacce_e,mass,1,g,Total Conditionally essential Amino acids,8,AMINO ACID PROFILE
amiacne,mass,1,g,Total Non-essential Amino acids,8,AMINO ACID PROFILE
amiacne_e,mass,1,g,Total Non-essential Amino acids,8,AMINO ACID PROFILE
retol,mass,1000000,ug,Retinol,3,FAT SOLUBLE VITAMINS
retol_e,mass,1000000,ug,Retinol,3,FAT SOLUBLE VITAMINS
thia,mass,1000000,ug,Thiamine (B1),2,WATER SOLUBLE VITAMINS
thia_e,mass,1000000,ug,Thiamine (B1),2,WATER SOLUBLE VITAMINS
ribf,mass,1000000,ug,Riboflavin (B2),2,WATER SOLUBLE VITAMINS
