,grup,items,url
0,Condiments and Spices,33,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Condiments%20and%20Spices.png?
1,Fresh Water Fish and Shellfish,10,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Fresh%20Water%20Fish%20and%20Shellfish.png?
2,Marine Shellfish,8,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Marine%20Shellfish.png?
3,Roots and Tubers,19,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Roots%20and%20Tubers.png?
4,Mushrooms,4,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Mushrooms.png?
5,Sugars,2,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Sugars.png?
6,Marine Fish,92,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Marine%20Fish.png?
7,Egg and Egg Products,15,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Egg%20and%20Egg%20Products.png?
8,Nuts and Oil Seeds,21,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Nuts%20and%20Oil%20Seeds.png?
9,Milk and Milk Products,4,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Milk%20and%20Milk%20Products.png?
10,Marine Mollusks,7,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Marine%20Mollusks.png?
11,Green Leafy Vegetables,34,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Green%20Leafy%20Vegetables.png?
12,Cereals and Millets,24,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Cereals%20and%20Millets.png?
13,Other Vegetables,78,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Other%20Vegetables.png?
14,Edible Oils and Fats,14,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Edible%20Oils%20and%20Fats.png?
15,Poultry,19,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Poultry.png?
16,Fruits,68,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Fruits.png?
17,Miscellaneous Foods,2,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Miscellaneous%20Foods.png?
18,Animal Meat,63,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Animal%20Meat.png?
19,Grain Legumes,25,https://rwiascqxcbessckesahh.supabase.co/storage/v1/object/public/indian_food/food-classes/Grain%20Legumes.png?
