"name","scie","lang","tags"
"Amaranth seed, black","Amaranthus cruentus","A. Moricha guti; H. Ramdana; Kan. Danthu beeja; Kash. Mawal; Mal. Cheera vithu; M. Chengkruk Maru; Mar. Cavali biya; O. Kosala sag manji Dhala; P. Chaulali beej; Tam. Keerai vidai; Tel. Thotakoora ginjalu.","vegetarian eggetarian fishetarian veg"
"Amaranth seed, pale brown","Amaranthus cruentus","A. Moricha guti; G. Rajagaro; H. Ramdana; Kan. Danthu beeja; Kash. Mawal; Mal. Cheera vithu; M. Chengkruk Maru; Mar. Cavali biya; O. Kosala sag maji kale; P. Chaulali beej; Tam. Keerai vidai; Tel. Thotakoora ginjalu.","vegetarian eggetarian fishetarian veg"
"Bajra","Pennisetum typhoideum","A., Kash. Baajra; B. Bajra; E. Pearl millet; G. Bajri; H. Bajra; Kan. Sajje; Kh. Krai; Mal. Kambam; Mar. Bajra; N. Bajara; O. Bajra; P. Bajra; Tam. Kambu; Tel. Sajjalu; U. Bajra.","vegetarian eggetarian fishetarian veg"
"Sheep, tongue","","","nonveg"
"Barley","Hordeum vulgare","A. Barli; B. Barley; G. Jav; H. Jau; Kan. Barley; Kash. Wushke; Kh. Krai; Mal. Barley; Mar. Sath; N. Jau; O. Jaba; P. Jao; S. Yava; Tam. Baarli Arisi; Tel. Barley; U. Jau.","vegetarian eggetarian fishetarian veg"
"Jowar","Sorghum vulgare","A. Jowar; B. Jowar; E. Sorghum; G. Jowar; H. Jowar; Kan. Jolada; Kash. Pingu; Kh. Krai; Mal. irunku; Mar. Jondhahlaa; O. Janha; P. Javara; Tam. Cholam; Tel. Jonna; U. Jowar.","vegetarian eggetarian fishetarian veg"
"Maize, dry","Zea mays","A. Makoi; B. Bhutta; E. Corn; G. Makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Symbai riewhadem stem; Mal. Maize; M. Chujaak; Mar. Maka; N. Sukha makai; O. Maka; P. Chhali; S. Yaavanaala; Tam. Makka Cholam; Tel. Mokkajonna; U. makai.","vegetarian eggetarian fishetarian veg"
"Cotton seed oil","","","vegetarian eggetarian fishetarian veg"
"Maize, tender, local","Zea mays","A. Makoi; B. Bhutta; E. Corn; G. Lili makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Riewhadem Stem; Mal. Maize; M. Chujaak; Mar. Maka; N. Makai; O. Maka; P. Chhali; Tam. Makka Cholam; Tel. Mokkajonna; U. Makai.","vegetarian eggetarian fishetarian veg"
"Maize, tender, sweet","Zea mays","A. Makoi; B. Bhutta; E. Corn; G. Lili makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Riewhadem lieh; Mal. Maize; M. Chujaak; Mar. Maka; N. Makai; O. Maka; P. Chhali; Tam. Makka Cholam; Tel. Mokkajonna; U. makai.","vegetarian eggetarian fishetarian veg"
"Quinoa","Chenopodium quinoa","","vegetarian eggetarian fishetarian veg"
"Palm fruit, tender","Borassus flabellifer","E. Doub palm, Palmyra palm, Tala palm, Toddy palm, Wine palm, Ice apple; H. Tar; Kan. Thati mangu; Mal. Pnamnungu; O. Tala Saja; Tam. Panai nungu; Tel. Thati munjalu.","vegetarian eggetarian fishetarian veg"
"Ragi","Eleusine coracana","A. Ragi; B. Ragi; E. Finger millet; G. Bavato; H. Ragi; Kan. Bhakri; Kh. Ukrai; Mal. Panjapulle; Mar. Bhakri; N. Kodo; O. Mandia; P.  Mandal; S. Madhulika; Tam. Kelvaragu; Tel. Ragi; U. Mandwa.","vegetarian eggetarian fishetarian veg"
"Rice flakes","Oryza sativa","A. Chira, Chiura; B. Chide, Chira; E. Flattened rice, Beaten rice; G. Paunva; H. Poha; Kan. Avalakki; Kash. Chevri; Kh. Shira; Mal. Aval; M. Chengpaak; Mar. Pohe; O. Chudaa, Chuda; P. Chirwre; Tam. Aval; Tel. Atukulu, Attukulu.","vegetarian eggetarian fishetarian veg"
"Rice puffed","Oryza sativa","A. Muri; B. Muri; G. Mamra; H. Muramure; Kan. Kalle Puri; Kash. Tomul; Kh. Muri; Mal. Pori; M. Kabok Mur; Mar. Chirmure; N. Murai; O. Mudhi; P. Phulian; Tam. Pori; Tel. Maramaralu; U. Murmure.","vegetarian eggetarian fishetarian veg"
"Gingelly oil","","","vegetarian eggetarian fishetarian veg"
"Rice, raw, brown","Oryza sativa","A. Matia rangar chaul; E. Whole grain rice; G. Kathai chokha; H. Chawal; P. Bhura choul; Kash. Tomul; Kh. Khaw saw; Mal. Kuthari ; M. Cheng; Tam. Arisi; Tel. Dampudu biyyam.","vegetarian eggetarian fishetarian veg"
"Rice, parboiled, milled","Oryza sativa","A. Ukhua chaul; B. Siddha chowl; E. Converted rice; G. Bafela Chokha; H. Usna chawal; Kan. Kusubalakki; Kash. Tomul; Kh. Khaw boil; Mal. Puzhungal ari; M. Cheng; Mar. Ukadla tandool; O. Usuna chaula; P. Biga hua chawal; Tam. Puzhungal arisi; Tel. Uppudu biyyam.","vegetarian eggetarian fishetarian veg"
"Rice, raw, milled","Oryza sativa","A. Milat khunda chaul; B. Chowl; G. Choka; H. Chawal; Kan. Akki; Kash. Tomul; Kh. Khaw boil; M. Cheng; Mar. Tondool; O. Chaula; P. Chaul; Tam. Arisi; Tel. Biyyam.","vegetarian eggetarian fishetarian veg"
"Samai","Panicum miliare","B. Sama; E. Little millet; G. Kuri; H. Shavan; Kan. Sama; Kash. Ganuhaar; Mal. Chama; Mar. Sava; O. Suan; P. Swank; Tam. Samai; Tel. Sama.","vegetarian eggetarian fishetarian veg"
"Varagu","Setaria italica","A. Konidhan; B. Syama dhan; E. Kodo millet; G. Ral gana; Kan. Priyangu thene; Kash. Snol; Mal. Thina; Mar. Rala; P. Kangni; Tam. Thinai; Tel. Karralu.","vegetarian eggetarian fishetarian veg"
"Wheat flour, refined","Triticum aestivum","A. Moida; B. Maida; G. Maido; H. Maida; Kan. Maida; Kash. Oat; Kh. Moida; Mal. Maida mavu; M. Moida; Mar. Maida; N. Maida; O. Maida; P. Maida; Tam. Maida mavu; Tel. Maida pindi; U. Maida.","vegetarian eggetarian fishetarian veg"
"Groundnut oil","","","vegetarian eggetarian fishetarian veg"
"Wheat flour, atta","Triticum aestivum","B. Ata; G. Samagra gha; H. Atta; Kan. Sampurna godhi hittu; Kash. Oat unno lota ghaun no lot; Mal. Godhambu mavu; Mar. Kaneek; O. Gahama atta; P. Atta; Tam. Mulu Godumai maavu; Tel. Sampurna godhuma pindi.","vegetarian eggetarian fishetarian veg"
"Wheat, whole","Triticum aestivum","A. Ghehu; B. Gom; G. Ghaun; H. Gehun; Kan. Godhi; Kash. Kinek; Kh. Ukew; Mal. Godhumbu; M. Ghehu; Mar. Gehu; N. Gau; O. Gahama; P. Kanaka; S. Godhum; Tam. Godumai; Tel. Godhumalu; U. Gehun.","vegetarian eggetarian fishetarian veg"
"Wheat, bulgur","Triticum aestivum","A. Dalia; B. Dalia; E. Burghul, Groats, Durum Wheat, Pasta wheat, Macaroni wheat; G. Bulgur ghaum; H. Dalia; Kan. Bulgur godhi; Kash. Kinek; Kh. Kew; Mal. Godhambu Ravu; Mar. Bulgur gahu; N. Gau ko pitho; O. Dalia; P. Dalia; Tam. Godumai ravai; Tel. Bulgur; U. Dalia.","vegetarian eggetarian fishetarian veg"
"Wheat, semolina","Triticum aestivum","A. Suji; B. Suji; E. Durum wheat, Pasta wheat, Macaroni wheat; G. Ghaum soji; H. Gehun suji; Kan. Godhi rave; Kash. Sooj; Kh. Suji; Mal. Uppumavu; M. Suji; Mar. Gahu rava; N. Suji; O. Suji; P. Suji; Tam. Godumai ravai; Tel. Godhuma rava.","vegetarian eggetarian fishetarian veg"
"Wheat, vermicelli","Triticum aestivum","A. Sewai; B. Semai; E. Very thin pasta; G. Ghaun ni sev; H. Siwain; Kan. Shevige; Kash. Sewian; Kh. Sewai lieh; Mal. Semiya; Mar. Siwain; O. Simai; P. Sevian; Tam. Semiya; Tel. Semiya; U. Semiya.","vegetarian eggetarian fishetarian veg"
"Wheat, vermicelli, roasted","Triticum aestivum","A. Gom sewai; B. Semai; E. Very thin pasta; G. Ghaun ni Shekeli sev; H. Siwain; Kan. Shevige; Kash. Sewian; Kh. Sewai saw; Mal. Semiya; Mar. Siwain; O. Simai; P. Bhooni sevian; Tam. Semiya; Tel. Semiya; U. Semiya.","vegetarian eggetarian fishetarian veg"
"Bengal gram, dal","Cicer arietinum","A. Boot dail; B. Cholar dal; E. Split Bengal gram, Chickpea; G. Chana-ni-daad; H. Chan-ki-dal; Kan. Kadale bele; Kash. Chanu dal; Kh. Dai shana; Mal. Kadala parippu; M. Chana Tangkhai; Mar. Harabara dal; N. Chana ko Dal; O. Channa dali (Buta dali); P. Sholedi dal; Tam. Kadalaiparuppu; Tel. Sanaga papu; U. Chane ki dal.","vegetarian eggetarian fishetarian veg"
"Bengal gram, whole","Cicer arietinum","A. Boot; B. Chola; E. Chickpea; G. Chana; H. Chana, Kala chana; Kan. Kadale; Kash. Chanu; Kh. Shana kulai; Mal. Kadala; Mar. Harbara; M. Chana Mapum; N. Kabuli Chana; O. Buta; P. Shole; S. Chanak; Tam. Kondaikadalai; Tel. Sanagalu; U. Chana.","vegetarian eggetarian fishetarian veg"
"Black gram, dal","Phaseolus mungo","A. Matir dail phola; B. Biulir dal; E. Urad bean, Mungo bean, Black matpe bean; G. Aadad ni daad; H. Urad dal; Kan. Uddhina bele; Kash. Kaha; Mal. Uzhunnu parippu; M. Sagol Hawai Tangkhai; Mar. Uddachi dal; N. Maas ko dal; O. Birri dali, Biri dali; P. Maa ki daal; S. Maassa; Tam. Ulutham paruppu; Tel. Minapa pappu; U. Mash ki dal.","vegetarian eggetarian fishetarian veg"
"Black gram, whole","Phaseolus mungo","A. Gota mati mah; B. Mashkolail; E. Urad bean, Mungo bean, Black matpe bean; G. Adad; H. Chhilke wali urad dal; Kan. Uddhina bele; Kash. Kaha; Kh. Dai iong; Mal. Uzhunu; M. Sagol Hawai; Mar. Uddachi dal; O. Birri, Biri; P. Sabut maa ki daal; Tam. Ulundhu; Tel. Minumulu Mapum","vegetarian eggetarian fishetarian veg"
"Cowpea, brown","Vigna catjang","A. Lesera mahor guti; B. Barbati; E. Black eyed peas, Lobia peas; G. Chorap; H. Lobia; Kan. Alasande; Kh. Rymbai; Mal. Vella payaru; M. Pong Hawai; Mar. Chavli; N. Bodi; O. Jhudunga; P. Lobia; S. Raajamaassa; Tam. Karamani; Tel. Bobbarlu; U. baunir.","vegetarian eggetarian fishetarian veg"
"Cowpea, white","Vigna catjang","A. Lesera mahor guti; B. Barbati; E. Black eyed peas, Lobia peas; G. Chorap; H. Lobia; Kan. Alasande; Kh. Rymbai lieh; Mal. Vella payaru; M. Pong Hawai; Mar. Chavli; N. Bodi; O. Jhudunga; P. Lobia; S. Raajamaassa; Tam. Karamani; Tel. Bobbarlu; U. Baunir.","vegetarian eggetarian fishetarian veg"
"Pork, tube (small intestine)","","","nonveg"
"Field bean, black","Phaseolus vulgaris","A. Urohi guti; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Moang; Kh. Symbai Ri iong; Mal. Avar; Mar. Papta; O. Baragudi; P. Sem dal; Tam. Mochai; Tel. Chikkudu ginjalu.","vegetarian eggetarian fishetarian veg"
"Field bean, brown","Phaseolus vulgaris","A. Urohi guti; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Moang; Kh. Symbai ri saw; Mal. Avar; Mar. Papta; O. Baragudi; Tam. Mochai; Tel. Chikkudu ginjalu.","vegetarian eggetarian fishetarian veg"
"Field bean, white","Phaseolus vulgaris","A. Urohi guti; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Moang; Kh. Symbai Ri lieh; Mal. Avar; Mar. Papta; O. Baragudi; Tam. Mochai; Tel. Chikkudu ginjalu.","vegetarian eggetarian fishetarian veg"
"Soya bean, white","Glycine max","A. Soya bean; B. Garikalai; E. Soybean; G. Soya bean; H. Bhatmas; Kan. Soya bean; Kash. Muth; Kh. Toh rymbai; Mal. Soya bean; M. Nunghawai; Mar. Soya bean; N. Bhatmas; O. Soya bean; P. Soya bean dal; Tel. Soya bean; Tam. Soya bean; U. Soya.","vegetarian eggetarian fishetarian veg"
"Green gram, dal","Phaseolus aureus","A. Dhua mogu dail; B. Mung dal; E. Mung bean, Maash, Moong; G. Mug ni daad; H. Mug dal; Kan. Hesara bele; Kash. Muang dal; Kh. U dai stem; Mal. Cheru payar parippu; M. Mung Hawai; Mar. Mug dal; N. Moong ko khoste; O. Muga Dali; P. Mungi-di-dal; Tam. Payatham paruppu; Tel. Pesara pappu; U. Moong dal.","vegetarian eggetarian fishetarian veg"
"Green gram, whole","Phaseolus aureus","A. Gota mogu mah; B. Moog; E. Mung bean, Maash, Moong; G. Mug; H. Mung; Kan. Hesare kalu; Kash. Muang; Kh. U dai jyrngam; Mal. Cheru Pararu; M. Mung Hawai; Mar. Mun; N. Moong; O. Muga; P. Sabut moong dal; S. Mudra; Tam. Pasipayir; Tel. Pesalu; U. Moong.","vegetarian eggetarian fishetarian veg"
"Horse gram, whole","Dolicus biflorus","B. Kulotto- kalai; E. Kulthi bean, Hurali, Madras gram; G. Kuleeth; H. Kulthi; Kan. Hurule; Kash. Kurath; Mal. Muthira; Mar. Kuleeth; N. Bakulla; O. Kolatha; S. Kulattha; Tam. Kollu; Tel. Ulavalu; U. Kulthi.","vegetarian eggetarian fishetarian veg"
"Lentil dal","Lens culinaris","A. Masur dail; B. Mosur dal; G. Masoor ni daad; H. Masoor dal; Kan. Laki Bele; Kash. Masoor; Kh. U dai saw; Mal. Vattu parippu; M. Hawai Masuri; Mar. lank dal; O. Masura dali; P. Dhooli masari dal; S. Triputta; Tam. Khesari paruppu; Tel. Lanka pappu.","vegetarian eggetarian fishetarian veg"
"Lentil whole, brown","Lens culinaris","A. Gota masur mah; B. Mosur; G. Masoor (Kathai); H. Masur dal; Kan. Masur bele; Kash. Masoor; Mal. Masur parippu; M. Hawai Masuri; Mar. Masur dal; N. Musuroo; O. Masura; P. Saboot masari dal; S. Masura; Tam. Mysore paruppu; Tel. Misur pappu; U. Masur dal.","vegetarian eggetarian fishetarian veg"
"Lentil whole, yellowish","Lens culinaris","H. Masur dal; Tel. Misur pappu; Tam. Mysore paruppu; Kan. Masur bele; Mal. Masur parippu; Mar. Masur dal; O. Masura; B. Mosur; G. Masoor rakhoda; P. Saboot masari dal; U. Masur dal; A. Mosur (Dail); Kash. Masoor; S. Masura Musuroo; M. Hawai Masuri; Kh. U dai saw.","vegetarian eggetarian fishetarian veg"
"Moth bean","Vigna aconitifolia","E. Mat bean, Turkish gram, Dew bean; H. Motha; Tam. Narippayir; Kan. Matki Kal; Mar. Matki; B. Kheri; G. Math; P. Bhiopnitam; P. Moth dal; Kh. Rymbai.","vegetarian eggetarian fishetarian veg"
"Peas, dry","Pisum sativum","A. Gota motor; B. Matar; G. Sukha vatana; H. Sukhi Matar; Kan. Batani; Kash. Kaza; Kh. Shana mator; Mal. Pattani; Tam. Pattani; O. Matara; P. Sukhe hare matar dal; Kan., Tel. Batani; Kash. Kara; M. Hawai mangal.","vegetarian eggetarian fishetarian veg"
"Rajmah, black","Phaseolus vulgaris","A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (Kadi); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma heh; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Kale rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma.","vegetarian eggetarian fishetarian veg"
"Sheep, lungs","","","nonveg"
"Rajmah, brown","Phaseolus vulgaris","A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (Gulabi); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma lieh; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Bhoore rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma.","vegetarian eggetarian fishetarian veg"
"Rajmah, red","Phaseolus vulgaris","A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (lal); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma rit; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Lal rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma.","vegetarian eggetarian fishetarian veg"
"Red gram, dal","Cajanus cajan","A. Rohor dail; B., Kash., H. Arhar dal; E. Pigeon pea; G. Tuver ni daad; Kan. Thugare bele; Kash. Masur; Kh. Dai shana; Mal. Tuvaru parippu; M. Mairongbi; Mar. Turdal; N. Rahar ko dal; O. Harada dal; P. Arhar dal; S. Aaddhakii; Tel. Kandi pappu; Tam. Tuvaramparuppu; U. Tuvar ki dal.","vegetarian eggetarian fishetarian veg"
"Mustard oil","","","vegetarian eggetarian fishetarian veg"
"Red gram, whole","Cajanus cajan","A. Gota rohor; E. Pigeon pea; G. Tuver; H. Arhar sabud; Kash. Masur; Kh. Rymbai ja; Mal. Tuvaru parippu; M. Mairongbi; Mar. Turdal; O. Harada; P. Arhar sabut dal; Tam. Tuvarai; Tel. Kandulu; U. Tuvar.","vegetarian eggetarian fishetarian veg"
"Ricebean","Vigna umbellata","B. Galmoong; E. Ricebean; H. Meth; Kh. Rymbai ja; Mal. Kattuzhunnu; M. Chakwai ; N. Shiltong.","vegetarian eggetarian fishetarian veg"
"Soya bean, brown","Glycine max","A. Soya bean; B. Garikalai; E. Soybean; G. Soya bean; H. Bhatmas; Kan. Soya bean; Kash. Muth; Kh. Toh rymbai; Mal. Soya bean; M. Nunghawai; Mar. Soya bean; N. Bhatmas; O. Soya bean; P. Soya bean dal; Tam. Soya bean; Tel. Soya bean; U. Soya.","vegetarian eggetarian fishetarian veg"
"Hare, shoulder","","","nonveg"
"Agathi leaves","Sesbania grandiflora","A. Bok phular paat; B. Bak ful shak; E. August tree leaves, Humming bird tree leaves, spinach; G. Agathio; H. Agasthi; Kan. Agase soppu; Mal. Agathi cheera; M. Chu chu Rangmei; Mar. Agasthi ka sag; O. Agasti; Tam. Agathi keerai; Tel. Avise akulu.","vegetarian eggetarian fishetarian veg"
"Amaranth leaves, green","Amaranthus gangeticus","A. Moricha sak; B. Notya Shaakh; G. Taldalja ni bhaaji; H. Chaulai; Kan. Danthu; Kash. Mawal; Mal. Cheera; M. Chengkruk; Mar. Math; N. Latte to saag; O. Neutia sag; P. Chaulai sag; S. Maarissa; Tam. Thandu keerai; Tel. Thotakoora; U. Cholai.","vegetarian eggetarian fishetarian veg"
"Amaranth leaves, red mix","Amaranthus gangeticus","A. Moricha; B. Lal Shaakh; G. Lal tandaljo; H. Chaulai; Kan. Danthu; Kash. Mawal; Mal. Cheera; M. Chengkruk; Mar. Math; N. Latte to saag; O. Neutia sag; P. Lal chaulai sag; S. Maarissa; Tel. Thotakoora; Tam. Thandu keerai; U. Cholai.","vegetarian eggetarian fishetarian veg"
"Cabbage, Chinese","Brassica rupa","A. China lai; G. Chinese kobi; Kash. Bandh; Kh. Salat chaina.","vegetarian eggetarian fishetarian veg"
"Amaranth leaves, red and green mix","Amaranthus gangeticus","A. Moricha; B. Notya Shaakh; G. Tandaljo; H. Chaulai; Kan. Danthu; Kash. Mawal; Mal. Cheera; M. Chengkruk; Mar. Math; N. Latte to saag; O. Neutia sag; P. Chaulai sag; S. Maarissa; Tam. Thandu keerai; Tel. Thotakoora; U. Cholai.","vegetarian eggetarian fishetarian veg"
"Amaranth spinosus, leaves, green mix","Amaranthus spinosus","A. Moricha sak; B. Kanta-notya; G. Kanta vado tandaljo; H. Kantewali-notya; Kan. Mulla danthu; Kash. Mawal; Mal. Mullancheru- cheera; M. Chengkruk; Mar. Kantemanth; O. Kanta notay shak; P. Kantewali chaulai; Tam. Mulaikeerai; Tel. Mulla thotakura.","vegetarian eggetarian fishetarian veg"
"Amaranth spinosus, leaves, red and green mix","Amaranthus spinosus","B. Kanta-notya shaak; G. Kanta vado tandaljo; H. Kantewali-notya; Kan. Mulla danthu; Kash. Mawal; Kh. Sla longmar; Mal. Mullancheru-cheera; M. Chengkruk; Mar. Kantemanth; O. Kanta neutia sag; P. Kantewali chaulai; Tam. Mulakeerai; Tel. Mulla thotakura.","vegetarian eggetarian fishetarian veg"
"Palm oil","","","vegetarian eggetarian fishetarian veg"
"Basella leaves","Basella alba","A. Puroi sak; B. Pui shaak; E. Malabar spinach; G. Poi ni bhaji; H. Palak; Kan. Basale soppu; Kh. Sla palong dkhar; Mal. Vallicheera; Mar. Mayalu; O. Poi saaga; P. Paalak; Tam. Kodippasali; Tel. Bachhali.","vegetarian eggetarian fishetarian veg"
